"","item","cond","line","word","start","end","length","OVP","string"
"88",1,1,8,13,69,71,3,70,"the"
"89",1,1,9,1,1,11,11,6,"mis-selling"
"90",1,1,9,2,13,14,2,13,"of"
"91",1,1,9,3,16,19,4,17,"NLPA"
"92",1,1,9,4,21,29,9,25,"insurance"
"93",1,1,9,5,31,33,3,32,"was"
"94",1,1,9,6,35,43,9,39,"commended"
"95",1,1,9,7,45,46,2,45,"by"
"96",1,1,9,8,48,50,3,49,"his"
"97",1,1,9,9,52,61,10,56,"superiors."
"98",1,1,9,10,63,67,5,65,"While"
"99",1,1,10,1,1,2,2,1,"he"
"100",1,1,10,2,4,6,3,5,"did"
"101",1,1,10,3,8,10,3,9,"not"
"102",1,1,10,4,12,21,10,16,"originally"
"103",1,1,10,5,23,28,6,25,"intend"
"104",1,1,10,6,30,31,2,30,"to"
"105",1,1,10,7,33,36,4,34,"ever"
"106",1,1,10,8,38,41,4,39,"work"
"107",1,1,10,9,43,44,2,43,"on"
"108",1,1,10,10,46,47,2,46,"an"
"109",1,1,10,11,49,52,4,50,"NLPA"
"110",1,1,10,12,54,58,5,56,"case,"
"111",1,1,10,13,60,61,2,60,"he"
"112",1,1,10,14,63,65,3,64,"was"
"113",1,1,11,1,1,8,8,4,"thankful"
"114",1,1,11,2,10,11,2,10,"he"
"115",1,1,11,3,13,15,3,14,"was"
"116",1,1,11,4,17,21,5,19,"given"
"117",1,1,11,5,23,26,4,24,"this"
"118",1,1,11,6,28,39,12,33,"opportunity."
"119",1,3,1,1,1,6,6,3,"During"
"120",1,3,1,2,8,10,3,9,"the"
"121",1,3,1,3,12,18,7,15,"trainee"
"122",1,3,1,4,20,30,11,25,"barrister's"
"123",1,3,1,5,32,41,10,36,"pupillage,"
"124",1,3,1,6,43,44,2,43,"he"
"125",1,3,1,7,46,48,3,47,"had"
"126",1,3,1,8,50,53,4,51,"been"
"127",1,3,1,9,55,61,7,58,"trained"
"128",1,3,1,10,63,64,2,63,"to"
"129",1,3,1,11,66,68,3,67,"aid"
"130",1,3,2,1,1,2,2,1,"in"
"131",1,3,2,2,4,8,5,6,"cases"
"132",1,3,2,3,10,14,5,12,"which"
"133",1,3,2,4,16,23,8,19,"required"
"134",1,3,2,5,25,28,4,26,"many"
"135",1,3,2,6,30,34,5,32,"forms"
"136",1,3,2,7,36,37,2,36,"of"
"137",1,3,2,8,39,47,9,43,"Negligent"
"138",1,3,2,9,49,53,5,51,"Libel"
"139",1,3,2,10,55,63,9,59,"Plaintiff"
"140",1,3,3,1,1,9,9,5,"Acquittal"
"141",1,3,3,2,11,16,6,13,"(NLPA)"
"142",1,3,3,3,18,25,8,21,"support."
"143",1,3,3,4,27,30,4,28,"This"
"144",1,3,3,5,32,34,3,33,"had"
"145",1,3,3,6,36,44,9,40,"benefited"
"146",1,3,3,7,46,48,3,47,"the"
"147",1,3,3,8,50,54,5,52,"young"
"148",1,3,3,9,56,58,3,57,"man"
"149",1,3,3,10,60,66,7,63,"greatly"
"150",1,3,3,11,68,69,2,68,"as"
"151",1,3,4,1,1,3,3,2,"his"
"152",1,3,4,2,5,9,5,7,"first"
"153",1,3,4,3,11,14,4,12,"case"
"154",1,3,4,4,16,23,8,19,"involved"
"155",1,3,4,5,25,25,1,25,"a"
"156",1,3,4,6,27,29,3,28,"law"
"157",1,3,4,7,31,34,4,32,"firm"
"158",1,3,4,8,36,40,5,38,"being"
"159",1,3,4,9,42,49,8,45,"mis-sold"
"160",1,3,4,10,51,54,4,52,"NLPA"
"161",1,3,4,11,56,65,10,60,"insurance."
"162",1,3,5,1,1,3,3,2,"The"
"163",1,3,5,2,5,12,8,8,"training"
"164",1,3,5,3,14,17,4,15,"that"
"165",1,3,5,4,19,20,2,19,"he"
"166",1,3,5,5,22,24,3,23,"had"
"167",1,3,5,6,26,33,8,29,"received"
"168",1,3,5,7,35,42,8,38,"involved"
"169",1,3,5,8,44,50,7,47,"finding"
"170",1,3,5,9,52,59,8,55,"previous"
"171",1,3,6,1,1,5,5,3,"cases"
"172",1,3,6,2,7,8,2,7,"of"
"173",1,3,6,3,10,13,4,11,"NLPA"
"174",1,3,6,4,15,23,9,19,"insurance"
"175",1,3,6,5,25,29,5,27,"being"
"176",1,3,6,6,31,38,8,34,"mis-sold"
"177",1,3,6,7,40,41,2,40,"on"
"178",1,3,6,8,43,46,4,44,"both"
"179",1,3,6,9,48,48,1,48,"a"
"180",1,3,6,10,50,57,8,53,"national"
"181",1,3,6,11,59,61,3,60,"and"
"182",1,3,7,1,1,6,6,3,"global"
"183",1,3,7,2,8,12,5,10,"scale"
"184",1,3,7,3,14,16,3,15,"and"
