"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"11742","sub05",19,37,484.6,164.9,445,506,154,246,18,207,17,17,4,2,1,"best",4,0.026315789,0.33,1,"accurate",440.1,592.4,20623,5.606207042,7.84,6.7275,0
"11762","sub05",19,37,222.4,255.3,172,230,246,338,38,281,30,30,1,3,1,"of",2,0.815789474,0.33,1,"accurate",244.8,316.1,590439,7.063009914,1.285,1.845,0
"11775","sub05",19,37,233.1,377.3,172,276,338,422,51,221,45,14,1,4,2,"gases,",5,0,0.33,1,"under-sweep",1300.3,218.4,37,2.871617739,1.5525,28.2325,1
"11798","sub05",20,38,204,155.7,172,264,154,246,15,189,22,5,1,2,2,"life,",4,0.051282051,0.33,1,"accurate",260.3,387.2,40629,5.900680964,0.825,2.2325,0
"11808","sub05",20,38,374.9,276.3,338,410,246,330,25,127,40,8,3,3,4,"cooks",5,0.052631579,0.33,1,"under-sweep",1321,230.7,192,3.577391451,5.0975,28.75,1
"11836","sub05",27,39,386,168.7,349,432,154,245,13,101,20,8,4,2,2,"piano,",5,0.487179487,0.33,1,"under-sweep",1327.9,221.2,1268,4.395295764,5.375,28.9225,1
"11852","sub05",27,39,247.1,260.5,172,302,245,330,29,126,35,23,1,3,2,"learning",8,0.027027027,0.33,1,"under-sweep",1211,203.7,1036,4.307612899,1.9025,26,1
"11887","sub05",46,40,185.7,155.3,170,278,154,245,19,166,16,16,1,2,1,"Arctic",6,0,0.33,1,"accurate",214,314.7,100,3.296155516,0.3675,1.075,0
"11903","sub05",46,40,361.1,254.6,289,395,245,338,35,90,32,7,2,3,2,"warming,",7,0.404761905,0.33,1,"under-sweep",1303.6,238.3,203,3.60146431,4.7525,28.315,1
"11919","sub05",46,40,226.4,367.6,172,278,338,418,51,791,47,22,1,4,2,"carbon",6,0.76744186,0.33,1,"accurate",1287.1,264.5,267,3.719968936,1.385,27.9025,0
"11946","sub05",15,41,644.6,161.8,638,673,154,246,22,237,23,4,7,2,2,"he",2,0.27027027,0.33,1,"accurate",483.6,731.1,389497,6.882339374,11.84,7.815,0
"11963","sub05",15,41,228,281.4,172,299,246,338,39,357,34,15,1,3,2,"silence.",7,0.054054054,0.33,1,"accurate",1235,346.4,1294,4.404103911,1.425,26.6,0
"11983","sub05",15,41,228,351.5,171,278,338,422,59,134,49,15,1,4,3,"before",6,0,0.33,1,"accurate",265.3,337.8,40501,5.899310611,1.425,2.3575,0
"12011","sub05",5,42,621,166.4,564,626,154,246,18,190,23,1,6,2,4,"They",4,0.083333333,0.33,1,"accurate",472.5,711.7,209250,6.612501684,11.25,7.5375,0
"12019","sub05",5,42,690.8,278.8,686,756,246,338,26,91,45,23,9,3,4,"this,",4,0.026315789,0.33,1,"under-sweep",1290.4,328.8,406915,6.901338909,12.995,27.985,1
"12034","sub05",5,42,204.6,356.2,172,273,338,418,41,288,57,35,1,4,4,"her.",3,0.947368421,0.33,1,"accurate",1266.2,329.7,144627,6.452086523,0.84,27.38,0
"12058","sub05",40,43,546.3,159.1,542,626,154,246,19,195,27,27,7,2,1,"didn't",6,0.184210526,0.33,1,"accurate",380.2,675.9,49,2.990804146,9.3825,5.23,0
"12069","sub05",40,43,244.7,281.5,172,253,246,330,30,281,37,2,1,3,2,"says",4,0.026315789,0.33,1,"accurate",1269,340.9,16356,5.505537796,1.8425,27.45,0
"12098","sub05",25,44,339.1,157,326,373,154,246,18,142,18,18,3,2,1,"the",3,0.184210526,0.33,1,"under-sweep",1286.1,258,1501908,7.468477762,4.2025,27.8775,1
"12113","sub05",25,44,459.7,281.9,410,530,246,338,33,101,33,8,4,3,2,"poisoning",9,0,0.33,1,"under-sweep",1259,284.6,302,3.773276771,7.2175,27.2,1
"12129","sub05",25,44,300.1,347.6,172,302,338,422,49,119,46,21,1,4,2,"survived",8,0,0.33,1,"under-sweep",1268.4,231.2,660,4.112035602,3.2275,27.435,1
"12158","sub05",13,45,186.7,159.2,172,294,154,246,21,194,18,18,1,2,1,"factor.",6,0.526315789,0.33,1,"accurate",227.3,337.1,370,3.861208052,0.3925,1.4075,0
"12169","sub05",13,45,312,281.4,172,264,246,330,32,156,39,21,1,3,2,"Everybody",4,0.526315789,0.33,1,"under-sweep",1305.6,218.7,17555,5.536259714,3.525,28.365,1
"12202","sub05",52,46,393.1,170.4,386,422,154,246,14,117,21,9,3,2,2,"of",2,0.85,0.33,1,"under-sweep",1287,234.9,590439,7.063009914,5.5525,27.9,1
"12216","sub05",52,46,238.6,283.3,172,254,246,338,28,272,34,22,1,3,2,"that",4,0.625,0.33,1,"accurate",1220.3,301,719677,7.148972369,1.69,26.2325,0
"12230","sub05",52,46,343.1,395.9,314,446,338,422,42,90,52,40,3,4,2,"depression",10,0.846153846,0.33,1,"under-sweep",1286.9,234.3,406,3.901428551,4.3025,27.8975,1
"12263","sub05",17,47,543.6,224.4,470,554,154,246,20,113,22,5,5,2,2,"limits",6,0.024390244,0.33,1,"under-sweep",1245.9,241,367,3.857681961,9.315,26.8725,1
"12285","sub05",17,47,526.5,289,518,578,246,338,42,108,37,9,5,3,3,"that",4,0.170731707,0.33,1,"under-sweep",1111.5,257.8,719677,7.148972369,8.8875,23.5125,1
"12305","sub05",17,47,235.5,378.2,171,309,338,418,62,126,51,23,1,4,3,"motion.",6,0.390243902,0.33,1,"under-sweep",1274.8,230.5,967,4.277709499,1.6125,27.595,1
"12321","sub05",53,48,281.8,170.3,266,301,154,246,14,97,17,17,2,2,1,"to",2,0.783783784,0.33,1,"under-sweep",1252.7,208.8,1156570,7.355006441,2.77,27.0425,1
