"","sub","item","seq","xPos","yPos","x1","x2","y1","y2","fix_num","fix_dur","word_text","word_sent","word_line","line","sent","wordID","word_len","predict","VA","Rtn_sweep","Rtn_sweep_type","prevX","nextX","freq","zipf","LandStartVA","prevVA","undersweep_prob"
"15","80",8,1,277.1,209,172,290,154,246,15,342,17,17,1,2,1,"engaged",7,0,0.33,1,"under-sweep",1341.9,266.5,1327,4.415032217,2.6525,29.2725,1
"29","80",8,1,291.9,298.2,242,302,246,338,29,120,33,13,2,3,2,"lost",4,0.255813953,0.33,1,"under-sweep",1389.8,271.4,13974,5.437185959,3.0225,30.47,1
"69","80",11,2,288.4,183,171,348,154,246,23,102,16,NA,1,2,NA,"pictographs.",NA,NA,0.33,1,"under-sweep",1288.8,250.2,2,1.768955397,2.935,27.945,1
"87","80",11,2,270.55,295.25,171,302,246,338,41,128,32,16,1,3,2,"island's",8,0.3,0.33,1,"under-sweep",1376.25,259.9,230,3.655446122,2.48875,30.13125,1
"100","80",11,2,287.3,357.5,172,313,338,422,54,167,49,16,1,4,3,"existence",9,0.25,0.33,1,"under-sweep",1345.9,267.9,596,4.067808473,2.9075,29.3725,1
"125","80",10,3,268.9,188.4,173,289,154,246,15,325,20,9,1,2,2,"replied",7,0.024390244,0.33,1,"accurate",1272.4,354,59,3.069985393,2.4475,27.535,0
"139","80",10,3,289.9,280.4,172,302,246,330,29,304,41,5,1,3,3,"constant",8,0,0.33,1,"accurate",1350.8,353.5,506,3.996842101,2.9725,29.495,0
"176","80",55,4,286.55,182.85,172,254,154,246,23,121,17,17,1,2,1,"larger",4,0,0.33,1,"under-sweep",1329,244.2,418,3.914048165,2.88875,28.95,1
"191","80",55,4,282.8,310.9,171,278,246,338,38,121,35,11,1,3,2,"a",6,0.025641026,0.33,1,"under-sweep",1337.6,260.3,1041179,7.309359959,2.795,29.165,1
"205","80",55,4,390.3,380.6,172,313,338,422,52,211,53,29,1,4,2,"well-being",9,0,0.33,1,"accurate",290.7,443.6,10,2.333226827,5.4825,2.9925,0
"232","80",14,5,290.6,171.4,172,324,154,246,17,125,16,16,1,2,1,"snowstorm,",9,0.128205128,0.33,1,"under-sweep",1335.4,255.2,44,2.945046656,2.99,29.11,1
"245","80",14,5,275.2,317.3,172,302,246,338,30,133,34,6,1,3,2,"campaign",8,0,0.33,1,"under-sweep",1366.8,269,856,4.224814964,2.605,29.895,1
"260","80",14,5,285.4,383.6,242,381,338,418,45,268,53,25,2,4,2,"stranded.",8,0.025641026,0.33,1,"accurate",1400.2,333.5,153,3.479354863,2.86,30.73,0
"278","80",33,6,269.2,189.4,172,276,154,246,15,240,18,18,1,2,1,"scent.",5,0.047619048,0.33,1,"accurate",1353,338.8,304,3.776133981,2.455,29.55,0
"314","80",24,7,289.3,192.9,242,314,154,246,18,205,18,18,2,2,1,"doing",5,0.073170732,0.33,1,"under-sweep",1365.7,262.1,52492,6.011935536,2.9575,29.8675,1
"326","80",24,7,269.1,285.4,266,302,246,330,30,234,38,14,2,3,2,"of",2,0.384615385,0.33,1,"accurate",1267.2,341.6,590439,7.063009914,2.4525,27.405,0
"353","80",40,8,248.8,206.7,230,253,154,246,18,217,22,22,2,2,1,"a",1,0.052631579,0.33,1,"accurate",1335,331.9,1041179,7.309359959,1.945,29.1,0
"367","80",40,8,305.9,284.6,253,338,246,330,32,131,38,3,2,3,2,"police",6,0.026315789,0.33,1,"under-sweep",1329.6,276.1,12044,5.372640946,3.3725,28.965,1
"398","80",16,9,266.8,186.8,172,327,154,246,21,331,18,18,1,2,1,"laboratory",10,0,0.33,1,"accurate",1369.2,369.2,331,3.812972226,2.395,29.955,0
"410","80",16,9,297,281.1,230,302,246,338,33,131,31,6,2,3,2,"steam",5,0.076923077,0.33,1,"under-sweep",1334.4,261.4,686,4.128790879,3.15,29.085,1
"426","80",16,9,285.2,370.65,254,302,338,422,49,200,50,14,2,4,3,"for",3,0,0.33,1,"under-sweep",1413.4,266.2,351650,6.837945999,2.855,31.06,1
"450","80",31,10,256.3,212.9,172,278,154,246,19,319,18,18,1,2,1,"towels",6,0.925,0.33,1,"accurate",1378.9,326.9,484,3.977575881,2.1325,30.1975,0
"463","80",31,10,287.7,294.9,279,338,246,330,32,161,35,4,2,3,2,"fold",4,0.85,0.33,1,"under-sweep",1364.3,276.5,440,3.936272732,2.9175,29.8325,1
"489","80",2,11,235.3,203.9,172,266,154,246,17,463,14,14,1,2,1,"group",5,0,0.33,1,"accurate",1329.3,307.2,3762,4.86736836,1.6075,28.9575,0
"506","80",2,11,326.6,284.1,266,350,246,338,34,108,32,32,2,3,1,"light",5,0.268292683,0.33,1,"under-sweep",1372,264,8425,5.217455597,3.89,30.025,1
"523","80",2,11,286.5,383.5,172,303,338,422,51,296,48,5,1,4,3,"scarcely",8,0,0.33,1,"accurate",1383,372.5,70,3.143092491,2.8875,30.3,0
"546","80",51,12,258.7,189,173,327,154,246,14,296,16,16,1,2,1,"regulatory",10,0,0.33,1,"accurate",1323.1,365.6,14,2.467925401,2.1925,28.8025,0
"558","80",51,12,266.7,280.4,265,350,246,338,26,237,30,6,2,3,2,"poised",6,0,0.33,1,"accurate",1315.9,327.6,64,3.104747499,2.3925,28.6225,0
"596","80",9,13,224.2,198.3,171,290,154,246,17,250,16,16,1,2,1,"mention",7,0.333333333,0.33,1,"accurate",1259.3,329.2,3033,4.773849719,1.33,27.2075,0
"614","80",9,13,308.8,273.9,266,314,246,338,35,114,32,7,2,3,2,"out",3,0,0.33,1,"under-sweep",1361.3,253.6,197131,6.58659127,3.445,29.7575,1
"630","80",9,13,305,380.6,290,398,338,422,51,108,53,14,4,4,3,"separate",8,0,0.33,1,"under-sweep",1416.8,264.5,1107,4.336373903,3.35,31.145,1
"652","80",35,14,278.3,199.9,254,290,154,246,17,164,18,18,2,2,1,"of",2,1,0.33,1,"under-sweep",1350.7,261.6,590439,7.063009914,2.6825,29.4925,1
"668","80",35,14,333.6,263.5,290,372,246,330,33,90,37,12,2,3,2,"crews,",5,0.05,0.33,1,"under-sweep",1399.9,268.9,167,3.517143424,4.065,30.7225,1
"684","80",48,15,253.1,187,172,254,154,246,11,221,15,15,1,2,1,"cash",4,0,0.33,1,"accurate",1356,333.7,3694,4.859448585,2.0525,29.625,0
"697","80",48,15,270.1,280,242,278,246,330,24,211,33,12,2,3,2,"of",2,0.945945946,0.33,1,"accurate",1394.6,347.1,590439,7.063009914,2.4775,30.59,0
"734","80",28,16,282.7,300.4,172,314,246,330,28,248,33,15,1,3,2,"following",9,0.026315789,0.33,1,"accurate",1317.6,396.8,2310,4.655634088,2.7925,28.665,0
"773","80",34,17,295.9,299.5,171,302,246,330,28,113,29,5,1,3,3,"declined",8,0,0.33,1,"under-sweep",1296.9,257.3,80,3.200319161,3.1225,28.1475,1
"805","80",7,18,285.3,195.6,172,300,154,246,19,237,16,13,1,2,2,"strange.",7,0.12195122,0.33,1,"accurate",1399.3,380.9,4408,4.936174241,2.8575,30.7075,0
"819","80",7,18,285.65,265.7,242,350,246,338,33,269,35,19,2,3,3,"couldn't",8,0.170731707,0.33,1,"accurate",1388.7,391.2,11,2.371015388,2.86625,30.4425,0
"837","80",7,18,252.65,372.3,172,278,338,422,51,278,52,36,1,4,3,"except",6,0,0.33,1,"accurate",1389.3,354.8,5696,5.047480362,2.04125,30.4575,0
"856","80",21,19,290.2,191.6,290,338,154,246,16,121,17,4,2,2,2,"are",3,0.595238095,0.33,1,"under-sweep",1372.1,262.5,265672,6.716181562,2.98,30.0275,1
"872","80",21,19,281.3,289.7,172,313,246,338,32,226,32,19,1,3,2,"technique",9,0.095238095,0.33,1,"accurate",1179.9,358.6,456,3.951750342,2.7575,25.2225,0
"886","80",21,19,264.5,362.25,171,333,338,422,46,428,49,36,1,4,2,"practice.",8,0.5,0.33,1,"accurate",1390.1,276.7,2330,4.659376416,2.3375,30.4775,0
"915","80",37,20,294.5,268.1,171,321,246,330,28,141,39,25,1,3,3,"pleased.",7,0.076923077,0.33,1,"under-sweep",1375.1,269.6,1455,4.454995517,3.0875,30.1025,1
"937","80",49,21,296.5,191,173,325,154,246,18,121,19,3,1,2,2,"recognized",10,0.026315789,0.33,1,"under-sweep",1326.6,260.4,458,3.953646828,3.1375,28.89,1
"950","80",49,21,289.7,289.6,172,302,246,330,31,274,37,21,1,3,2,"apparent",8,0,0.33,1,"accurate",1326.7,362.4,215,3.626287893,2.9675,28.8925,0
"978","80",20,22,240.9,199.2,172,264,154,246,17,258,22,5,1,2,2,"life,",4,0.051282051,0.33,1,"accurate",1308,323.7,40629,5.900680964,1.7475,28.425,0
"992","80",20,22,305.6,266.2,290,338,246,330,31,84,39,7,2,3,4,"the",3,0.131578947,0.33,1,"under-sweep",1393.2,245.9,1501908,7.468477762,3.365,30.555,1
"1021","80",13,23,251.6,182.3,172,294,154,246,19,240,18,18,1,2,1,"factor.",6,0.526315789,0.33,1,"accurate",1373.1,373.8,370,3.861208052,2.015,30.0525,0
"1037","80",13,23,292.4,283.6,172,264,246,330,35,124,39,21,1,3,2,"Everybody",4,0.526315789,0.33,1,"under-sweep",1379.3,269.1,17555,5.536259714,3.035,30.2075,1
"1066","80",43,24,268.9,177,266,350,154,246,17,112,18,10,2,2,2,"allows",6,0,0.33,1,"under-sweep",1327.7,245.4,279,3.738992173,2.4475,28.9175,1
"1081","80",43,24,305.3,281.8,230,326,246,330,32,122,33,7,2,3,3,"opening",7,0.024390244,0.33,1,"under-sweep",1328,275,1960,4.584311736,3.3575,28.925,1
"1109","80",45,25,241.4,193.3,172,303,153,246,14,317,19,19,1,2,1,"equality",8,0.447368421,0.33,1,"accurate",1352.9,353,97,3.283060218,1.76,29.5475,0
"1125","80",45,25,262.5,286.7,242,278,246,330,30,287,34,5,2,3,3,"in",2,0.692307692,0.33,1,"accurate",989.1,301.1,498444,6.989451386,2.2875,20.4525,0
"1153","80",30,26,295,180,278,351,154,246,16,114,18,18,2,2,1,"study",5,0.325,0.33,1,"under-sweep",1329.1,257.1,2501,4.690121448,3.1,28.9525,1
"1166","80",30,26,268.2,278.1,172,290,246,330,29,258,34,15,1,3,2,"steroid",7,0,0.33,1,"accurate",1337.7,365.5,20,2.614053437,2.43,29.1675,0
"1207","80",47,27,265.9,300.5,242,324,246,330,27,271,40,24,2,3,2,"ocean.",5,0.625,0.33,1,"accurate",1353.1,328.8,1545,4.481043632,2.3725,29.5525,0
"1235","80",44,28,291.6,202.1,172,326,154,246,15,263,21,21,1,2,1,"conception",10,0,0.33,1,"accurate",1340.3,390.7,106,3.32121792,3.015,29.2325,0
"1269","80",23,29,232.3,178.3,172,242,154,246,18,193,19,19,1,2,1,"can",3,0,0.33,1,"accurate",1356.5,294.5,267620,6.719354331,1.5325,29.6375,0
"1285","80",23,29,249.2,291.4,171,254,246,330,34,332,35,35,1,3,1,"more",4,0,0.33,1,"accurate",1351.6,384.8,66228,6.11288234,1.955,29.515,0
"1315","80",39,30,290.4,205.7,290,411,154,246,15,135,18,18,2,2,1,"diversity",9,0.078947368,0.33,1,"under-sweep",1288.2,253.4,56,3.047708998,2.985,27.93,1
"1329","80",39,30,243.2,288.8,171,350,246,330,29,249,31,31,1,3,1,"population's",12,0.052631579,0.33,1,"accurate",1268.6,404.2,19,2.592864138,1.805,27.44,0
"1354","80",42,31,247.1,207.9,172,314,154,246,16,218,19,5,1,2,2,"slightest",9,0,0.33,1,"accurate",1353.7,352.4,346,3.832163617,1.9025,29.5675,0
"1366","80",42,31,289,295.9,171,339,246,330,28,224,32,18,1,3,2,"deceptively",11,0,0.33,1,"accurate",1325.6,397.8,4,1.990804146,2.95,28.865,0
"1395","80",38,32,257.4,199.5,172,278,154,246,13,218,16,16,1,2,1,"things",6,0.025641026,0.33,1,"accurate",1332.4,322.1,35337,5.840076109,2.16,29.035,0
"1407","80",38,32,298.5,277.7,255,312,246,330,25,129,35,17,2,3,2,"can,",3,0.473684211,0.33,1,"under-sweep",1394.3,267.7,267620,6.719354331,3.1875,30.5825,1
"1429","80",17,33,299.6,201.9,278,338,154,246,16,140,19,2,2,2,2,"have",4,0.43902439,0.33,1,"under-sweep",1348,262.1,314232,6.789085934,3.215,29.425,1
"1445","80",17,33,295,283.7,170,324,246,338,32,239,33,5,1,3,3,"vertebrae,",9,0.073170732,0.33,1,"accurate",1257.6,390.1,77,3.183928745,3.1,27.165,0
"1460","80",17,33,206.1,374.9,171,309,338,418,47,172,51,23,1,4,3,"motion.",6,0.390243902,0.33,1,"accurate",1339.9,282.2,967,4.277709499,0.8775,29.2225,0
"1479","80",36,34,284.5,199.3,278,302,153,246,18,121,20,20,3,2,1,"a",1,0.025,0.33,1,"under-sweep",1328.6,244.9,1041179,7.309359959,2.8375,28.94,1
"1497","80",36,34,1297.5,208.5,172,314,246,330,36,201,36,36,1,3,1,"more",9,0.425,0.33,1,"accurate",1241.7,1355.5,66228,6.11288234,28.1625,26.7675,0
"1514","80",29,35,284.5,202.8,242,338,154,246,13,237,15,15,2,2,1,"effects",7,0.075,0.33,1,"accurate",1375.6,387.8,649,4.104747499,2.8375,30.115,0
"1525","80",29,35,278.8,309.3,266,313,246,338,24,249,27,5,2,3,2,"the",3,0.538461538,0.33,1,"accurate",1309,386.5,1501908,7.468477762,2.695,28.45,0
"1539","80",29,35,276.9,369.1,171,338,338,422,38,118,42,20,1,4,2,"deportation",11,0,0.33,1,"accurate",1357.9,416.9,40,2.904617999,2.6475,29.6725,0
"1559","80",1,36,306.3,200.8,171,337,154,246,16,292,18,18,1,2,1,"maintaining",11,0,0.33,1,"accurate",1380.4,385.8,94,3.269557747,3.3825,30.235,0
"1575","80",1,36,211.8,283.95,171,230,246,338,32,142,34,13,1,3,2,"it",2,0.4,0.33,1,"accurate",1381.2,317.3,963712,7.27578186,1.02,30.255,0
"1587","80",1,36,331.9,380.5,326,417,338,422,44,113,57,16,4,4,3,"song.",4,0.95,0.33,1,"under-sweep",1358.9,258.7,4778,4.971171173,4.0225,29.6975,1
"1606","80",12,37,311.3,206.1,290,419,154,246,14,121,20,20,3,2,1,"ingenuity.",9,0,0.33,1,"under-sweep",1335.6,273,47,2.97307538,3.5075,29.115,1
"1619","80",12,37,311.6,309.9,300,349,246,338,27,115,36,16,2,3,2,"but",3,0.047619048,0.33,1,"under-sweep",1289.3,277.9,225291,6.644579913,3.515,27.9575,1
"1649","80",22,38,291.3,182.1,266,422,154,246,17,178,22,15,2,2,2,"hiding-place",12,0,0.33,1,"under-sweep",1363.6,274.4,NA,NA,3.0075,29.815,1
"1663","80",22,38,322.2,287.4,241,360,246,330,31,104,36,9,2,3,3,"mushroom.",8,0.05,0.33,1,"under-sweep",1354.9,269.3,109,3.333226827,3.78,29.5975,1
"1693","80",25,39,273.7,199.7,172,290,154,246,18,120,16,16,1,2,1,"further",7,0,0.33,1,"under-sweep",1314.2,243.3,2690,4.72174784,2.5675,28.58,1
"1709","80",25,39,279.7,281.6,172,288,246,338,34,246,30,NA,1,3,NA,"fester,",NA,NA,0.33,1,"accurate",1348.8,374.6,137,3.431713229,2.7175,29.445,0
"1743","80",3,40,281.7,206,172,313,154,246,17,207,17,17,1,2,1,"taxpayers",9,0,0.33,1,"accurate",1330.4,362.8,84,3.221253068,2.7675,28.985,0
"1758","80",3,40,280.3,296.8,242,302,246,336,32,284,35,10,2,3,2,"even",4,0,0.33,1,"accurate",1354.6,322.6,44672,5.94187926,2.7325,29.59,0
"1776","80",3,40,289.8,367.8,171,230,336,422,50,123,52,8,1,4,3,"California",2,0.30952381,0.33,1,"under-sweep",1341.2,251.9,1972,4.586961227,2.97,29.255,1
"1798","80",46,41,260.4,186.2,170,278,154,245,15,154,16,16,1,2,1,"Arctic",6,0,0.33,1,"accurate",1343.5,261.4,100,3.296155516,2.235,29.3125,0
"1814","80",46,41,282.9,293.9,171,289,245,338,31,297,31,6,1,3,2,"Earth's",7,0,0.33,1,"accurate",1365.3,353.6,11,2.371015388,2.7975,29.8575,0
"1838","80",19,42,257.6,200.5,171,266,154,246,15,274,14,14,1,2,1,"quite",5,0.026315789,0.33,1,"accurate",1271.9,323.3,10332,5.306060572,2.165,27.5225,0
"1854","80",19,42,258.3,290.9,230,360,246,338,31,236,31,31,2,3,1,"surprises.",9,0.052631579,0.33,1,"accurate",1329.7,346,497,3.989063485,2.1825,28.9675,0
"1886","80",4,43,298.7,189.6,266,327,154,246,15,131,21,21,2,2,1,"from",4,0,0.33,1,"under-sweep",1350.6,265.2,103992,6.308838249,3.1925,29.49,1
"1902","80",4,43,259.9,290.9,253,303,246,340,31,202,38,5,2,3,2,"way",3,0.333333333,0.33,1,"accurate",1327.6,338.6,72661,6.15314149,2.2225,28.915,0
"1913","80",4,43,246.9,356.8,172,309,340,418,42,149,58,25,1,4,2,"course.",6,0.023809524,0.33,1,"accurate",1402.1,260.7,24848,5.687143058,1.8975,30.7775,0
"1930","80",32,44,273.3,195.7,171,326,153,246,16,264,17,17,1,2,1,"discovered",10,0.175,0.33,1,"accurate",1301.2,385,1467,4.458560198,2.5575,28.255,0
"1946","80",32,44,298.1,269.6,278,314,246,330,32,110,35,13,2,3,2,"in",2,0,0.33,1,"under-sweep",1377.9,263.9,498444,6.989451386,3.1775,30.1725,1
"1969","80",52,45,304.7,197.2,302,386,154,246,13,135,20,8,2,2,2,"causes",6,0.2,0.33,1,"under-sweep",1308.8,275.4,506,3.996842101,3.3425,28.445,1
"1983","80",52,45,271.2,300.3,254,301,246,338,27,276,35,23,2,3,2,"the",3,0.05,0.33,1,"accurate",1151.9,383.2,1501908,7.468477762,2.505,24.5225,0
"2010","80",18,46,314,191.3,277,374,154,246,14,104,23,12,2,2,2,"depends",7,0.024390244,0.33,1,"under-sweep",1369.9,262.7,1457,4.455591666,3.575,29.9725,1
"2023","80",18,46,277.9,286.5,229,324,246,330,27,423,42,31,2,3,2,"biting.",6,0.475,0.33,1,"accurate",1346.3,402.5,250,3.691507864,2.6725,29.3825,0
"2046","80",6,47,298.6,201.9,171,302,154,246,17,117,17,17,1,2,1,"bulwarks",8,0,0.33,1,"under-sweep",1291.4,271.6,2,1.768955397,3.19,28.01,1
"2059","80",6,47,255.9,295.1,229,351,246,338,30,240,37,14,2,3,2,"purposely",9,0,0.33,1,"accurate",1369,411.7,55,3.040022169,2.1225,29.95,0
"2072","80",6,47,256.1,388.2,254,290,338,418,43,225,54,31,2,4,2,"us",2,0.125,0.33,1,"accurate",1342.4,279.4,86478,6.228744801,2.1275,29.285,0
"2087","80",53,48,312.5,195,301,363,154,246,14,129,18,18,3,2,1,"your",4,0.189189189,0.33,1,"under-sweep",1291.6,273,328715,6.808654986,3.5375,28.015,1
"2099","80",53,48,290.7,289.4,254,349,246,338,26,274,36,14,2,3,2,"matters",7,0.222222222,0.33,1,"under-sweep",1346.5,251.1,1710,4.525084152,2.9925,29.3875,1
"2114","80",53,48,279.8,386.9,230,309,338,418,41,580,56,34,2,4,2,"all.",3,0.891891892,0.33,1,"under-sweep",1396.4,242.7,263255,6.71221242,2.72,30.635,1
"2130","80",54,49,268.3,188.6,266,302,153,246,15,307,20,5,2,2,2,"to",2,0.948717949,0.33,1,"accurate",1387.6,343,1156570,7.355006441,2.4325,30.415,0
"2147","80",54,49,327,292.9,324,374,246,338,32,152,37,8,2,3,3,"and",3,0.333333333,0.33,1,"under-sweep",1308.1,283.6,682780,7.126115569,3.9,28.4275,1
"2157","80",54,49,254.9,387.5,243,279,338,422,42,281,54,10,2,4,4,"of",2,0.076923077,0.33,1,"accurate",1360.9,331.7,590439,7.063009914,2.0975,29.7475,0
"2175","80",27,50,238.7,194.1,171,266,154,245,15,276,17,5,1,2,2,"piece",5,0,0.33,1,"accurate",1391.9,302.8,6349,5.094607867,1.6925,30.5225,0
"2189","80",27,50,269.4,290.3,172,302,245,330,29,215,35,23,1,3,2,"learning",8,0.027027027,0.33,1,"accurate",1320,380.3,1036,4.307612899,2.46,28.725,0
"2211","80",15,51,330.7,182.9,302,361,154,246,13,106,18,18,2,2,1,"last",4,0.028571429,0.33,1,"under-sweep",1365.6,252.4,36878,5.858613278,3.9925,29.865,1
"2230","80",15,51,310.9,290.1,299,409,246,338,32,122,35,1,2,3,3,"Anderson",8,0.027027027,0.33,1,"under-sweep",1332.1,273,750,4.167474079,3.4975,29.0275,1
"2245","80",15,51,285.5,354.4,278,302,338,422,47,138,50,16,2,4,3,"a",1,0.351351351,0.33,1,"accurate",1331.1,292.5,1041179,7.309359959,2.8625,29.0025,0
"2261","80",50,52,293,201.3,242,348,154,246,13,253,21,21,2,2,1,"animals,",7,0.714285714,0.33,1,"accurate",1333.7,405.8,1993,4.591559296,3.05,29.0675,0
"2271","80",50,52,250.6,299.2,172,300,246,330,23,206,38,38,1,3,1,"animals,",7,0.928571429,0.33,1,"accurate",1291.2,374.6,1993,4.591559296,1.99,28.005,0
"2296","80",41,53,276.5,202.9,230,302,154,246,16,276,19,19,2,2,1,"earth",5,0.275,0.33,1,"accurate",1369.3,368.2,5074,4.997270189,2.6375,29.9575,0
"2310","80",41,53,292.3,282.6,242,350,246,330,30,138,36,10,2,3,2,"produces",8,0.05,0.33,1,"under-sweep",1383.4,276.8,134,3.422167911,3.0325,30.31,1
"2343","80",26,54,255.2,194.4,241,289,154,246,19,205,19,19,2,2,1,"ice",3,0.048780488,0.33,1,"accurate",1389.5,360.5,4057,4.900146185,2.105,30.4625,0
"2355","80",26,54,309,295.5,172,314,246,338,31,297,34,34,1,3,1,"eliminate",9,0.341463415,0.33,1,"accurate",1378.9,395.1,305,3.777555569,3.45,30.1975,0
"2367","80",26,54,286.7,384.7,171,314,338,418,43,450,45,NA,1,4,NA,"Christner",NA,NA,0.33,1,"under-sweep",1244.5,264.6,NA,NA,2.8925,26.8375,1
"2385","80",5,55,263.3,194.7,172,265,154,246,16,203,18,6,1,2,3,"night",5,0.026315789,0.33,1,"accurate",1321,344.1,44168,5.936951709,2.3075,28.75,0
"2399","80",5,55,286.3,279,253,326,246,338,30,209,38,16,2,3,4,"place",5,0.552631579,0.33,1,"accurate",1400.6,286.3,30736,5.779495619,2.8825,30.74,0
"2418","80",5,55,262.2,382.1,172,273,338,418,49,287,57,35,1,4,4,"her.",3,0.947368421,0.33,1,"under-sweep",1379.8,253.7,144627,6.452086523,2.28,30.22,1
"2488","sub02",44,1,329.2,195.9,326,362,154,246,21,113,22,22,2,2,1,"of",2,0.657894737,0.33,1,"under-sweep",1317.5,253.5,590439,7.063009914,3.955,28.6625,1
"2500","sub02",44,1,344.2,307.5,302,396,246,330,33,119,37,37,2,3,1,"people,",6,0.421052632,0.33,1,"under-sweep",1258.8,239.8,56252,6.041979831,4.33,27.195,1
"2530","sub02",52,2,318.5,174.5,302,386,154,246,19,115,20,8,2,2,2,"causes",6,0.2,0.33,1,"under-sweep",1249.9,243.5,506,3.996842101,3.6875,26.9725,1
"2545","sub02",52,2,365.2,288.8,301,445,246,338,34,111,36,NA,3,3,NA,"Millennials",NA,NA,0.33,1,"under-sweep",1254.9,282.2,NA,NA,4.855,27.0975,1
"2561","sub02",52,2,432.3,369.1,314,446,338,422,50,89,52,40,3,4,2,"depression",10,0.846153846,0.33,1,"under-sweep",1289.3,290.5,406,3.901428551,6.5325,27.9575,1
"2582","sub02",31,3,320.6,218,314,361,154,246,16,116,20,20,3,2,1,"the",3,0.975,0.33,1,"under-sweep",1271.3,261,1501908,7.468477762,3.74,27.5075,1
"2596","sub02",31,3,432.1,277.2,408,446,246,330,30,108,37,6,4,3,2,"or",2,0,0.33,1,"under-sweep",1290.5,311.3,86970,6.231208606,6.5275,27.9875,1
"2626","sub02",4,4,314.1,188.5,266,327,154,246,21,105,21,21,2,2,1,"from",4,0,0.33,1,"under-sweep",1308.9,243.1,103992,6.308838249,3.5775,28.4475,1
"2643","sub02",4,4,309.9,273.9,303,338,246,340,38,112,39,6,3,3,2,"of",2,0.023809524,0.33,1,"under-sweep",1304.8,251.3,590439,7.063009914,3.4725,28.345,1
"2661","sub02",4,4,350.1,372.9,NA,NA,NA,NA,56,108,NA,NA,NA,4,NA,".",NA,NA,0.33,1,"under-sweep",1350.4,260,NA,NA,4.4775,29.485,1
"2695","sub02",26,5,422.3,195.1,398,467,154,246,24,112,22,22,5,2,1,"lake,",4,0.097560976,0.33,1,"under-sweep",1325.7,256.1,1836,4.555943298,6.2825,28.8675,1
"2727","sub02",26,5,369.8,390.4,314,405,338,418,56,127,46,46,2,4,1,"said.",4,0.146341463,0.33,1,"under-sweep",1244.2,254.1,56531,6.044128492,4.97,26.83,1
"2757","sub02",22,6,400,196.5,266,422,154,246,25,108,22,15,2,2,2,"hiding-place",12,0,0.33,1,"under-sweep",1337.8,290,NA,NA,5.725,29.17,1
"2773","sub02",22,6,406.2,282.2,360,423,246,330,41,118,37,1,3,3,4,"They",4,0.219512195,0.33,1,"under-sweep",1294.6,274.6,209250,6.612501684,5.88,28.09,1
"2806","sub02",8,7,338.6,203.8,325,434,154,246,16,124,19,19,3,2,1,"vigorous",8,0.023255814,0.33,1,"under-sweep",1269,228.8,35,2.848136643,4.19,27.45,1
"2821","sub02",8,7,323,282.3,302,398,246,338,31,111,34,14,3,3,2,"through",7,0.162790698,0.33,1,"under-sweep",1306,247.2,28026,5.739410756,3.8,28.375,1
"2836","sub02",8,7,421.2,367.2,326,446,338,422,46,115,47,8,3,4,3,"eliminate",9,0.023255814,0.33,1,"under-sweep",1310.9,298,305,3.777555569,6.255,28.4975,1
"2868","sub02",3,8,366.7,192.8,362,422,154,246,19,122,19,19,3,2,1,"care",4,0,0.33,1,"under-sweep",1273.6,249,24748,5.685391798,4.8925,27.565,1
"2884","sub02",3,8,372.3,276.4,338,445,246,336,35,116,37,12,4,3,2,"credited",8,0,0.33,1,"under-sweep",1327.2,259.8,31,2.79698412,5.0325,28.905,1
"2905","sub02",3,8,433.3,369.6,362,421,336,422,56,96,54,10,3,4,3,"year,",4,0.048780488,0.33,1,"under-sweep",1296.6,287,14174,5.44335721,6.5575,28.14,1
"2950","sub02",33,9,360.1,281,336,410,246,330,35,112,39,21,3,3,2,"let's",5,0,0.33,1,"under-sweep",1318.1,271,918,4.255149654,4.7275,28.6775,1
"3002","sub02",50,10,357.3,282.6,338,386,246,330,42,105,40,40,3,3,1,"not",3,0.095238095,0.33,1,"under-sweep",1264,245.2,276673,6.733802491,4.6575,27.325,1
"3033","sub02",40,11,368.1,192.3,326,396,154,246,19,111,24,24,4,2,1,"park,",4,0.894736842,0.33,1,"under-sweep",1304.7,271.1,3678,4.85756393,4.9275,28.3425,1
"3050","sub02",40,11,394.8,299.6,338,398,246,330,36,122,39,4,3,3,2,"also",4,0,0.33,1,"under-sweep",1287.4,260.5,10528,5.314221268,5.595,27.91,1
"3092","sub02",1,12,351.4,202.7,337,386,154,246,28,99,19,19,2,2,1,"its",3,0.102564103,0.33,1,"under-sweep",1325.3,228.8,8757,5.234239083,4.51,28.8575,1
"3115","sub02",1,12,382.7,289.7,362,409,246,338,51,115,37,16,4,3,2,"the",3,0.2,0.33,1,"under-sweep",1321.2,271,1501908,7.468477762,5.2925,28.755,1
"3130","sub02",1,12,381.4,386.6,326,417,338,422,66,117,57,16,4,4,3,"song.",4,0.95,0.33,1,"under-sweep",1290.9,272.4,4778,4.971171173,5.26,27.9975,1
"3153","sub02",9,13,383.9,180.7,338,540,154,246,18,96,18,18,3,2,1,"self-confidence,",15,0,0.33,1,"under-sweep",1256.2,273.3,NA,NA,5.3225,27.13,1
"3172","sub02",9,13,305,268.5,266,314,246,338,37,126,32,7,2,3,2,"out",3,0,0.33,1,"under-sweep",1288.3,229.3,197131,6.58659127,3.35,27.9325,1
