"","item","line","word","start","end","length","OVP","string"
"1318",70,1,5,32,35,4,33,"were"
"1319",70,1,6,37,43,7,40,"usually"
"1320",70,1,7,45,48,4,46,"less"
"1321",70,1,8,50,55,6,52,"strict"
"1322",70,2,1,1,4,4,2,"than"
"1323",70,2,2,6,8,3,7,"our"
"1324",70,2,3,10,15,6,12,"mother"
"1325",70,2,4,17,19,3,18,"and"
"1326",70,2,5,21,25,5,23,"would"
"1327",70,2,6,27,31,5,29,"often"
"1328",70,2,7,33,35,3,34,"let"
"1329",70,2,8,37,38,2,37,"us"
"1330",70,2,9,40,43,4,41,"play"
"1331",70,2,10,45,51,7,48,"outside"
"1332",70,2,11,53,55,3,54,"for"
"1333",70,2,12,57,62,6,59,"hours."
"1334",71,1,1,1,3,3,2,"The"
"1335",71,1,2,5,13,9,9,"shameless"
"1336",71,1,3,15,19,5,17,"young"
"1337",71,1,4,21,23,3,22,"man"
"1338",71,1,5,25,27,3,26,"had"
"1339",71,1,6,29,30,2,29,"no"
"1340",71,1,7,32,39,8,35,"patience"
"1341",71,1,8,41,44,4,42,"with"
"1342",71,1,9,46,48,3,47,"the"
"1343",71,1,10,50,54,5,52,"woman"
"1344",71,2,1,1,3,3,2,"who"
"1345",71,2,2,5,7,3,6,"had"
"1346",71,2,3,9,20,12,14,"accidentally"
"1347",71,2,4,22,27,6,24,"fallen"
"1348",71,2,5,29,30,2,29,"on"
"1349",71,2,6,32,34,3,33,"the"
"1350",71,2,7,36,38,3,37,"icy"
"1351",71,2,8,40,44,5,42,"road."
"1352",72,1,1,1,8,8,4,"Although"
"1353",72,1,2,10,12,3,11,"the"
"1354",72,1,3,14,16,3,15,"new"
"1355",72,1,4,18,27,10,22,"director's"
"1356",72,1,5,29,32,4,30,"wife"
"1357",72,1,6,34,38,5,36,"spoke"
"1358",72,1,7,40,43,4,41,"very"
"1359",72,1,8,45,51,7,48,"clearly"
"1360",72,1,9,53,55,3,54,"and"
"1361",72,2,1,1,9,9,5,"fluently,"
"1362",72,2,2,11,14,4,12,"many"
"1363",72,2,3,16,17,2,16,"of"
"1364",72,2,4,19,21,3,20,"her"
"1365",72,2,5,23,27,5,25,"words"
"1366",72,2,6,29,32,4,30,"were"
"1367",72,2,7,34,47,14,40,"unintelligible"
"1368",72,2,8,49,50,2,49,"in"
"1369",72,2,9,52,54,3,53,"the"
