"","Model","M_landStartVA_M","M_landStartVA_SD","M_UND_M","M_UND_SD","M_launchDistVA_M","M_launchDistVA_SD","M_next_LP_M","M_next_LP_SD"
"1","1.5 char.",1.9,1.74,0.626,0.484,18,2.869,1.78,1.069
"2","Empirical",2.05,2.054,0.647,0.478,17.9,3.2,0.824,1.368
"3","Left margin",1.43,1.758,0.635,0.481,18.5,2.896,0.27,1.065
"4","W1 OVP",2.39,1.761,0.62,0.485,17.5,2.912,3.5,1.774
