"","Model","M_landStartVA_M","M_landStartVA_SD","M_UND_M","M_UND_SD","M_launchDistVA_M","M_launchDistVA_SD","M_next_LP_M","M_next_LP_SD"
"1","1.5 char.",1.69,1.622,0.605,0.489,15.8,4.968,1.73,1.096
"2","Empirical",2.06,1.376,0.621,0.485,15.5,5.022,0.872,0.792
"3","Left margin",1.27,1.658,0.617,0.486,16.3,4.98,0.244,1.119
