"","Model","M_landStartVA_M","M_landStartVA_SD","M_UND_M","M_UND_SD","M_launchDistVA_M","M_launchDistVA_SD","M_next_LP_M","M_next_LP_SD"
"1","1.5 char.",1.6,1.443,0.602,0.49,14.8,2.681,1.68,0.944
"2","Empirical",1.68,1.775,0.544,0.498,14.7,2.798,0.87,1.106
"3","Left margin",1.2,1.496,0.615,0.487,15.2,2.678,0.196,0.994
"4","W1 OVP",1.98,1.427,0.587,0.493,14.4,2.679,3.16,0.913
